序号,分类代号,分类名称,纤维代码,中文通用名,英文名称,化学命名,CAS号,代际划分,发明年代,商业化年代,首发机构/发明人,纺丝成型工艺,密度(g/cm³),断裂强度(cN/dtex),断裂强度(GPa),拉伸模量(GPa),断裂伸长率(%),公定回潮率(%),极限氧指数LOI(%),熔点(°C),最高服役温度(°C),生物基,可生物降解,战略高性能,代表品牌/商标,典型应用领域,2026技术成熟度与产业现状
11,REG_POLY,其他多糖与天然聚合物基纤维,ALG,海藻酸盐纤维 (海藻纤维),Alginate Fiber,海藻酸钙/海藻酸钠多糖高分子,9005-38-3,第2代特种医用人造纤维,1883,1940s,Stanford / Courtaulds,水相湿法纺丝 (海藻酸钠水溶液挤入氯化钙水浴进行离子置换凝胶),1.7,2.2,0.37,6.0,12.0,16.0,34.0,,120.0,是,是,否,"Kaltostat, Sorbsan, 青岛明月海藻",高吸收医用凝胶伤口敷料、阻燃防护服里衬、重金属吸附过滤棉、医美级护肤膜布,锌-铜-银复合抑菌离子海藻纤维量产；高吸水凝胶化敷料占据全球烧伤止血核心市场
12,REG_POLY,其他多糖与天然聚合物基纤维,CHT,甲壳素与壳聚糖纤维,Chitin & Chitosan Fiber,聚脱乙酰氨基葡萄糖,9012-76-4,第3代生物活性纤维,1859,1990s,日本富士纺 (Fujibo) / 中国海洋大学等,湿法纺丝 (稀乙酸水溶液溶解，氢氧化钠凝固浴中再生中和脱酸),1.45,1.8,0.26,5.0,15.0,14.0,26.0,,110.0,是,是,否,"Chitopoly, 恒天海龙壳聚糖短纤",广谱抑菌内衣面料、慢伤口止血纱布、可降解手术缝线、环保果蔬保鲜功能布,高脱乙酰度(>95%)高强长丝技术成熟，实现与莱赛尔、纯棉的均匀混纺与原液着色
13,REG_POLY,其他多糖与天然聚合物基纤维,ED,二烯类弹性纤维 (天然胶乳橡胶丝),Elastodiene (Natural Rubber Thread),"顺-1,4-聚异戊二烯 (交联橡胶)",9006-04-6,第1代天然聚合物弹性纤维,1930s,1930s,Dunlop / 固特异,挤出凝固硫化法 (天然乳胶与硫化助剂挤出酸浴凝结并高温交联),0.98,0.35,0.035,0.005,650.0,0.8,17.0,,85.0,是,是,否,"Lastex, Rubber Flex",松紧带、弹性织带、高拉伸蹦极绳索芯、传统弹力袜套口,部分被氨纶替代，但凭借超大回弹力和抗反复大应变在重型弹性织物中维持专属市场
14,SYN_PET,聚酯系纤维,PET,聚对苯二甲酸乙二醇酯纤维 (涤纶/聚酯纤维),Polyethylene Terephthalate Fiber (Polyester),聚对苯二甲酸乙二醇酯,25038-59-9,第1代大宗合成纤维,1941,1953,Whinfield & Dickson (CPA / ICI / 杜邦),直接熔融纺丝法 (连续聚合-喷丝板挤出-侧吹风冷却-高速牵伸卷绕),1.38,5.2,0.72,12.5,25.0,0.4,21.0,260.0,150.0,否,否,否,"Dacron (达克纶), Terylene (特丽纶), 恒力聚酯, 桐昆涤纶",民用全领域服装、家纺床品、汽车轮胎帘子布、安全带、工业过滤网、非织造布,全球产销量最大的化学纤维（年产超6500万吨）；化学法循环再生(rPET)与原液着色成为行业标配
15,SYN_PET,聚酯系纤维,PTT,聚对苯二甲酸丙二醇酯纤维 (PTT纤维),Polytrimethylene Terephthalate Fiber,"聚对苯二甲酸-1,3-丙二醇酯",26590-75-0,第2代记忆型聚酯纤维,1941,1998,壳牌 (Shell Corterra) / 杜邦 (DuPont Sorona),"熔体纺丝 (生物发酵法1,3-丙二醇与PTA缩聚物)",1.34,3.8,0.51,3.5,35.0,0.45,21.0,228.0,130.0,是,否,否,"Sorona (杜邦索罗娜), Corterra",记忆弹力外套、高档抗皱西服、高端地毯、泳装瑜伽服、羽绒服防钻绒面料,生物基PDO单体自给率超90%，其Z字型分子链赋予其接近氨纶的优异弹性回复率
16,SYN_PET,聚酯系纤维,PBT,聚对苯二甲酸丁二醇酯纤维 (PBT纤维),Polybutylene Terephthalate Fiber,"聚对苯二甲酸-1,4-丁二醇酯",26062-94-2,第2代高回弹聚酯纤维,1970s,1980s,Celanese / 帝人 (Teijin),熔融纺丝 (常规纺或高速纺丝与拉伸变形POY-DTY),1.31,3.6,0.47,2.8,38.0,0.4,21.5,225.0,130.0,否,否,否,"Wonderon, T-400 (与PET双组分复合)",专业抗氯泳衣、高弹牛仔布、滑雪服、假发丝、高档牙刷刷毛及化妆刷毛,在耐氯漂弹性服饰与工业刷丝领域稳步增长，与PET复合制备机械双螺旋转曲自卷曲纤维
17,SYN_PET,聚酯系纤维,PEN,聚萘二甲酸乙二醇酯纤维 (PEN纤维),Polyethylene Naphthalate Fiber,"聚2,6-萘二甲酸乙二醇酯",25853-85-4,第3代高性能聚酯纤维,1948,1995,Amoco / 帝人 (Teijin Teonex),高温熔融纺丝与高倍热拉伸 (熔体温度约300℃),1.36,8.5,1.15,24.0,8.0,0.3,24.0,269.0,165.0,否,否,是,"Teonex, Pentex",超高速赛车高性能轮胎帘子线、深海系泊缆绳、高性能船帆布、高耐热绝缘层,作为尺寸稳定性优于涤纶、模量逼近芳纶的耐蠕变高模聚酯，在新能源车轮胎与航海帆布广泛应用
18,SYN_PET,聚酯系纤维,CDP,阳离子染料可染聚酯纤维 (CDP/ECDP),Cationic Dyeable Polyester Fiber,含有间苯二甲酸二甲酯-5-磺酸钠共聚酯,,第2代改性差别化聚酯,1960s,1970s,DuPont,熔体纺丝 (SIPM第三单体及PEG第四单体共聚酯),1.37,4.2,0.58,10.0,28.0,0.5,21.0,245.0,130.0,否,否,否,"Dacron T-64, ECDP",多色提花织物、双色运动时装、免高压常压沸染色面料 (ECDP),常压低温可染(ECDP)节能减排品种占比超70%，显著降低染整热能消耗
19,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PA6,聚酰胺6纤维 (锦纶6/尼龙6),Polyamide 6 Fiber (Nylon 6),聚己内酰胺,25038-54-4,第1代大宗合成纤维,1938,1943,Paul Schlack (德国 IG Farben / BASF),熔融纺丝 (己内酰胺开环聚合切片熔融挤出),1.14,4.8,0.55,3.8,35.0,4.5,21.5,220.0,110.0,否,否,否,"Perlon (贝纶), Enka Nylon, 中石化巴陵己内酰胺",民用丝袜、贴身内衣、冲锋衣户外防撕裂面料、渔网、工业安全带、短纤地毯,超细旦原液着色锦纶与己内酰胺化学闭环回收再生系统(Econyl等)大规模应用
20,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PA66,聚酰胺66纤维 (锦纶66/尼龙66),Polyamide 66 Fiber (Nylon 66),聚己二酰己二胺,32131-17-2,第1代大宗合成纤维 (人类历史上首个纯合成纤维),1935,1939,Wallace Carothers (卡罗瑟斯 / 杜邦 DuPont),熔体纺丝 (己二胺己二酸盐聚合熔融高速纺丝),1.14,5.5,0.63,4.5,28.0,4.0,22.0,260.0,130.0,否,否,否,"Nylon 66, Cordura (考杜拉), 华峰锦纶66",高端汽车安全气囊布、高性能军用被服Cordura面料、重载工业帘子布、瑜伽高弹服,己二腈国产化技术彻底攻关放量，安全气囊与高耐磨军工装备全面自给并降本增效
21,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PA56,聚酰胺56纤维 (生物基锦纶56),Polyamide 56 Fiber (Bio-based Nylon 56),聚己二酰戊二胺,119864-77-6,第4代生物基合成纤维,2000s,2018,凯赛生物 (Cathay Biotech) / 中国纺科院,熔融纺丝 (淀粉玉米生物发酵法戊二胺与己二酸缩聚),1.15,5.0,0.58,4.2,32.0,5.5,23.0,254.0,125.0,是,否,否,"Terryl (泰纶), 凯赛生物PA56",亲肤透气运动服、军旅阻燃战备服、高吸湿羽绒面料、绿色地毯长丝,全球生物制造万吨级标杆，吸湿排汗指标逼近棉花，减碳幅度达50%以上
22,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PA11,聚酰胺11纤维 (锦纶11/蓖麻油基尼龙),Polyamide 11 Fiber (Nylon 11),聚十一内酰胺,25035-04-5,第2代长碳链生物基合成纤维,1942,1955,Arkema (阿科玛 Rilsan),熔体纺丝 (100%源自蓖麻油经裂解制备11-氨基十一酸单体),1.04,4.0,0.42,2.5,40.0,1.2,21.0,187.0,105.0,是,否,否,"Rilsan (阿科玛), Rilsan Clear",耐高低温工业管路织物、极地运动服饰、高韧性耐盐雾海洋特种绳网、高级刷丝,作为全生物基长碳链高性能特种尼龙，在耐低温冲击与低吸水率领域保持高价值应用
23,SYN_PA,脂肪族与半芳香族聚酰胺纤维,PA46,聚酰胺46纤维 (锦纶46),Polyamide 46 Fiber (Nylon 46),聚己二酰丁二胺,50327-22-5,第3代耐热工程合成纤维,1977,1984,DSM (帝斯曼 / Envalior Stanyl),高温熔融纺丝及固相后聚合,1.18,8.0,0.94,7.0,18.0,3.8,23.0,295.0,160.0,否,否,是,Stanyl (斯泰尼尔),高热负荷汽车引擎舱传动皮带帘线、耐高温工业过滤毡、航空发动机密封增强织物,耐热蠕变与耐疲劳性能卓越，在新能源电驱系统高转速耐磨增强织物中获得新拓展
24,SYN_PAN,聚丙烯腈系纤维 (腈纶),PAN,聚丙烯腈纤维 (腈纶/人造羊毛),Polyacrylonitrile Fiber (Acrylic Fiber),丙烯腈多元共聚物 (丙烯腈含量>85%),25014-41-9,第1代大宗合成纤维,1942,1950,DuPont (杜邦 Orlon / 奥纶),湿法或干法纺丝 (DMF、DMAc或NaSCN水溶液溶解喷丝),1.18,3.2,0.38,6.5,30.0,2.0,18.0,,125.0,否,否,否,"Orlon (奥纶), Dralon (德绒), 抚顺腈纶, 吉林化纤腈纶",羊毛衫毛线、毛毯人造毛皮、户外遮阳篷帆布、高耐日晒篷布、碳纤维原丝前驱体,民用以超细旦高蓬松发热保暖(德绒品类)为主，高端转向大丝束高质量碳纤维原丝配套
25,SYN_PAN,聚丙烯腈系纤维 (腈纶),MAC,改性聚丙烯腈纤维 (变性腈纶/阻燃腈纶),Modacrylic Fiber,丙烯腈与偏二氯乙烯或氯乙烯共聚物 (丙烯腈含量35%~85%),26877-39-4,第2代本质阻燃差别化合成纤维,1949,1950s,Union Carbide (Dynel) / 钟渊化学 (Kaneka),湿法或干法纺丝 (丙酮或DMF溶剂溶解),1.37,2.8,0.38,5.0,32.0,2.5,31.0,,110.0,否,否,否,"Kanecaron (钟化假发丝/阻燃丝), Protex",高级逼真阻燃假发、电力冶金电弧防护工服、民航阻燃毛毯、酒店防火窗帘面料,全球高端假发与安全防护面料的核心支柱原料，无锑环保阻燃与高耐热卷曲工艺普及
26,SYN_PO,聚烯烃系纤维,PP,聚丙烯纤维 (丙纶),Polypropylene Fiber,等规聚丙烯,9003-07-0,第1代大宗合成纤维 (所有商业合成纤维中密度最低),1954,1957,Giulio Natta (纳塔 / 意大利 Montecatini),熔体纺丝 (熔融纺丝牵伸、纺粘法Spunbond、熔喷法Meltblown),0.91,5.0,0.45,4.0,28.0,0.05,18.0,168.0,95.0,否,否,否,"Herculon, Meraklon, 蒙特卡蒂尼丙纶",医用外科口罩及防护服熔喷过滤层、土工布、包装集装袋、速干贴身排汗运动衣,超细熔喷驻极体寿命突破5年，超细旦微孔丙纶在单向速干运动服与纸尿裤无纺布上深度普及
27,SYN_PO,聚烯烃系纤维,PE-REG,普通聚乙烯纤维 (普通乙纶),Polyethylene Fiber (Conventional),高密度聚乙烯 (HDPE),9002-88-4,第1代通用合成纤维,1933,1940s,ICI / 齐格勒,熔融纺丝 (常规单丝或扁丝挤出),0.95,3.5,0.33,2.5,25.0,0.01,17.5,130.0,80.0,否,否,否,"Courlene, Polythene filament",农业遮阳网、防虫网、浅海渔网绳缆、编织袋、人工草坪草丝,抗紫外UV老化母粒配方与长寿命抗刮擦草丝技术高度成熟
28,SYN_PO,聚烯烃系纤维,PMP,聚4-甲基-1-戊烯纤维 (TPX纤维),Poly(4-methyl-1-pentene) Fiber,聚(4-甲基-1-戊烯),25068-26-2,第3代特种耐热聚烯烃纤维,1965,1975,ICI / 三井化学 (Mitsui TPX),熔融纺丝与高倍拉伸,0.83,4.5,0.37,3.8,22.0,0.01,18.0,240.0,140.0,否,否,是,TPX (三井化学),超轻离型织物、医疗透析空心纤维膜、超轻高绝缘电缆绕包层、微波加热容器滤布,凭借极低介电常数(Dk≈2.1)和优异透气耐温性，在6G高频通信及特种分离膜稳步放量
29,SYN_PU,聚氨酯与弹性聚合物纤维,EL,聚氨酯弹性纤维 (氨纶/斯潘德克斯),Elastane / Spandex Fiber,聚氨基甲酸酯嵌段共聚物 (聚醚/聚酯软段与二异氰酸酯硬段),61788-20-7,第2代合成弹性高分子,1952,1959,Joseph Shivers (杜邦 DuPont Lycra / 莱卡),干法纺丝 (DMAC溶液挤入高温氮气甬道)、少部分熔融纺丝或湿纺,1.21,1.1,0.13,0.05,520.0,1.1,18.0,230.0,110.0,否,否,否,"Lycra (莱卡), Creora (晓星), 华峰千禧氨纶",瑜伽服、游泳衣、紧身牛仔裤、运动功能压缩衣、高档贴身无缝内衣、纸尿裤防漏边,生物基BDO原料氨纶(生物基含量超70%)与低温可热熔粘合氨纶成为产业升级核心
30,SYN_PU,聚氨酯与弹性聚合物纤维,TPU-F,热塑性聚氨酯弹性纤维 (熔纺TPU纤维),Thermoplastic Polyurethane Fiber,热塑性聚氨酯弹性体 (TPU),61788-20-7,第3代绿色无溶剂弹性纤维,1980s,2000s,BASF (巴斯夫) / Lubrizol (路博润) / 万华化学,环保无溶剂熔融纺丝法 (无需DMF/DMAC，环境极度友好),1.18,1.6,0.19,0.08,450.0,0.8,20.0,195.0,115.0,否,否,否,"Elastollan (巴斯夫), 万华TPU熔纺纤维",飞织一体鞋面、单一材质100%可循环运动服、弹性无缝粘合线、防水透气弹性复合膜,配合单一材质闭环回收(Mono-material design)浪潮，全面替代传统化学溶剂干法氨纶鞋服配件
31,SYN_PVA,聚乙烯醇系纤维 (维纶),PVA-F,聚乙烯醇缩甲醛纤维 (维纶/维尼纶),Vinylon / Polyvinyl Alcohol Formalized Fiber,聚乙烯醇缩甲醛化共聚物,25067-34-9,第1代大宗合成纤维,1939,1950,李升基 (中国/朝鲜科学家) / 樱田一郎 (日本可乐丽 Kuraray),湿法或干法纺丝 (PVA水溶液芒硝硫酸钠盐浴凝固，甲醛缩醛化固化交联),1.29,4.5,0.58,8.0,20.0,5.0,20.0,230.0,115.0,否,否,否,"Kuralon (可乐丽), Vinylon, 皖维维纶",高强帆布篷布、橡胶输送带骨架、耐磨军用背包帐篷、无石棉水泥增强材料,作为环保代石棉增强纤维在建筑纤维水泥板(FRC)中具有刚性不可替代全球市场
32,SYN_PVA,聚乙烯醇系纤维 (维纶),W-PVA,水溶性聚乙烯醇纤维 (水溶维纶),Water-Soluble PVA Fiber,未经缩醛化改性高纯聚乙烯醇,9002-89-5,第2代功能差别化纤维,1960s,1970s,Kuraray (日本可乐丽) / 皖维高新,湿法纺丝或冻胶纺丝 (水相凝固，不经甲醛缩醛化，精准调控醇解度),1.28,3.8,0.48,6.5,18.0,5.5,19.5,220.0,80.0,否,是,否,"Kuralon K-II, 皖维水溶纤维",无捻毛巾骨架纱(水洗后脱除造就超蓬松触感)、水溶无纺绣花基布、医用防感染自溶隔离袋,低温20℃速溶且无残毒生物可降解型在高端绿色纺织与绣花耗材全面普及
33,SYN_PVA,聚乙烯醇系纤维 (维纶),HM-PVA,高强高模聚乙烯醇纤维,High-Strength High-Modulus PVA Fiber,超高聚合度全等规/间规聚乙烯醇,9002-89-5,第3代高性能特种聚合物纤维,1980s,1990s,Kuraray (可乐丽) / 中国石化四川维纶,凝胶冻胶纺丝-超高倍热拉伸 (DMSO或有机溶剂体系),1.3,11.5,1.5,35.0,6.5,3.0,21.0,245.0,140.0,否,否,是,"Kuralon II, 川维高强高模PVA",水利水电超高强工程水泥防裂筋、深海缆绳、轻量化防弹复合材料、特种高压绝缘纸,我国完全掌握万吨级高端干湿法凝胶拉伸核心技术，出口全球数十个国家基建工程
34,SYN_HALO,含卤素通用纤维,PVC-F,聚氯乙烯纤维 (氯纶),Polyvinyl Chloride Fiber (Chlorofibre),聚氯乙烯,9002-86-2,第1代合成纤维 (早期与德国人造丝并驾齐驱),1913,1934,Fritz Klatte / 德国 IG Farben (PeCe 纤维),干法或湿法纺丝 (丙酮/苯溶剂),1.4,2.5,0.35,3.5,35.0,0.1,38.0,,70.0,否,否,否,"Rhovyl (法国罗维尔), PeCe, 氯纶",极度耐酸碱耐腐蚀工业滤布、理疗静电保健内衣被褥、影剧院舞台阻燃幕布,虽然耐热性差，但利用其独特的高负摩擦静电发生性在医疗静电理疗纺织品领域持续独占鳌头
35,SYN_HALO,含卤素通用纤维,PVDC-F,聚偏二氯乙烯纤维 (偏氯纶/莎纶),Polyvinylidene Chloride Fiber (Saran),偏二氯乙烯-氯乙烯共聚物,9002-85-1,第1代耐候耐化合成纤维,1933,1940,Ralph Wiley (陶氏化学 Dow Chemical),熔融挤出快速水冷淬火及冷拉伸单丝,1.7,2.0,0.34,2.2,25.0,0.1,60.0,170.0,85.0,否,否,否,Saran (莎纶 / 陶氏),耐日光露天沙滩椅面料、汽车阻燃座套、高档仿真发丝、强酸强碱腐蚀环境工业滤网,以其卓越的超低透氧透湿性与耐候耐光老化性能，在特种户外工业织物中保持稳健需求
36,BIO_ALIPH,脂肪族可降解聚酯纤维,PLA,聚乳酸纤维 (PLA/玉米纤维),Polylactic Acid Fiber (PLA),聚L-乳酸,26100-51-6,第3代生物基全降解合成纤维,1932,1997,Carothers / Cargill Dow (NatureWorks Ingeo) / 海正生物,熔融纺丝 (高纯左旋丙交酯开环聚合，熔体挤出牵伸),1.25,4.2,0.53,4.5,30.0,0.6,26.0,175.0,110.0,是,是,否,"Ingeo (NatureWorks), 海正PLA, 丰原生物玉米纤维",环保茶包袋、一次性卫生巾面层无纺布、绿色运动时装、可堆肥包装布、汽车内饰顶棚,百万吨级全产业链贯通，立体复合PDLA/PLLA高耐温(耐热超130℃)技术全面打破传统PLA耐温瓶颈
37,BIO_ALIPH,脂肪族可降解聚酯纤维,PHA,聚羟基脂肪酸酯纤维 (PHA/PHBV/P34HB),Polyhydroxyalkanoates Fiber,微生物发酵合成聚羟基脂肪酸酯,29434-13-7,第4代全自然环境降解生物纤维,1926,2015,Lemoigne / 蓝晶微生物 (Bluepha) / 微构工场,熔融纺丝或湿法静电纺 (嗜盐微生物非粮碳源发酵提取聚合物),1.25,3.0,0.38,3.5,25.0,0.8,24.0,170.0,100.0,是,是,否,"Bluepha PHA, Kaneka Green Planet, Danimer Nodax",海洋水体与土壤无痕降解渔网、农用可降解防草地膜、高端医美缝合线、可冲散湿巾,在常温海水环境中几个月内完全降解为水和CO2，成为攻克全球海洋微塑料危机的终极纤维材料
38,BIO_ALIPH,脂肪族可降解聚酯纤维,PCL,聚己内酯纤维 (PCL纤维),Polycaprolactone Fiber,聚ε-己内酯,24980-41-4,第3代生物医用降解纤维,1930s,1980s,Union Carbide (Tone PCL),低温熔融纺丝、溶液静电纺丝,1.15,2.6,0.3,0.5,80.0,0.4,20.0,60.0,45.0,否,是,否,"Capa (Ingevity), Monocryl 组分",微创低温定型医用矫形支架、缓释药物纳米纤维载体、3D组织工程细胞再生脚手架,在组织工程骨软骨再生微支架、神经修复微导管等高端医疗领域形成系列临床标准
39,BIO_ALIPH,脂肪族可降解聚酯纤维,PGA,聚乙醇酸纤维 (PGA/聚交酯),Polyglycolic Acid Fiber,聚羟基乙酸,26009-03-0,第3代高强超快吸收生物纤维,1954,1970,American Cyanamid (Dexon 德克松外科缝线),高真空熔融纺丝与多级热牵伸,1.53,8.0,1.22,7.5,18.0,0.5,28.0,225.0,120.0,否,是,是,"Dexon, Kureha PGA, 国能神华包头煤制PGA",外科可吸收手术缝合线(Dexon)、页岩油气深井可溶压裂暂堵球与桥塞工具、可降解血管支架,万吨级煤化工草酸二甲酯路线PGA规模投产，石油工程深井完井工具与高端医疗缝合线实现全面替代
40,BIO_ALIPH,脂肪族可降解聚酯纤维,PLGA,聚(L-丙交酯-共-乙交酯)纤维 (PLGA),Poly(L-lactide-co-glycolide) Fiber,L-丙交酯与乙交酯无规/嵌段共聚物,26780-50-7,第3代精准调控医用降解纤维,1970s,1974,Ethicon (强生 Vicryl / 薇乔线),精密熔融纺丝或静电纺丝,1.35,6.8,0.92,6.0,22.0,0.5,26.0,200.0,110.0,否,是,是,"Vicryl (薇乔), Polyglactin 910",强生Vicryl可吸收缝合线、可控体内吸收组织补片、靶向长效抗癌药物纳米缓释微纤,通过调控单体比例可精准设定体内降解周期(2周至6个月)，保持临床外科缝线全球金标准
41,BIO_ALIPH,脂肪族可降解聚酯纤维,PDO,聚对二氧环己酮纤维 (PDS/PDO线),Polydioxanone Fiber,"聚(1,4-二氧杂环己烷-2-酮)",29964-84-9,第3代单丝高韧医用生物纤维,1970s,1981,Ethicon (DuPont/强生 PDS),熔融纺丝与连续固相退火单丝挤出,1.38,5.2,0.72,2.2,35.0,0.4,22.0,110.0,75.0,否,是,是,"PDS II (强生), 恒生PPDO提拉线",医美微创面部抗衰倒刺提升线(大V线)、小儿心血管长效可吸收手术单丝、防粘连疝气修补网,在医疗美容微创埋线提升与儿童心胸外科手术中为无可争议的刚性标杆单丝材料
